model,stage,params_json,train_time_s,predict_time_val_s,predict_time_test_s,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,best_iteration,best_score
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",8.824549652000314,0.04501157199956651,0.0429738750008255,0.9991877842755036,0.9776005605828056,0.9652854780388408,0.9992088611268412,0.9991336365605371,0.9813900941389625,0.9725019788121666,0.9991416767284834,472.0,0.00218856926562262
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",7.996367617000033,0.04013567299989518,0.03845800299950497,0.99924193199047,0.9755508856646417,0.978987850772053,0.9992395732202526,0.9990794888455707,0.9814672572427375,0.9724752953338456,0.9990873567778995,401.0,0.00221559417335459
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",4.6920350139998845,0.024703328000214242,0.024978200000077777,0.9991877842755036,0.9776069193396261,0.9796115446718106,0.999185862905111,0.9988087502707386,0.9809757251970294,0.9646703203238173,0.9988201502816093,199.0,0.00355419815256132
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",4.719278864999978,0.02538880800057086,0.0264894900001309,0.9991336365605371,0.977535265570638,0.9856748671030635,0.9991297166454123,0.9987004548408057,0.9808322943307068,0.9642904357328246,0.9987116002678146,199.0,0.00362702222175056
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",4.63348351500008,0.039338761000180966,0.023602801999913936,0.99924193199047,0.9776785731086144,0.9865396766759843,0.9992379693690331,0.998862897985705,0.9810474406301904,0.9721534876364766,0.9988713109406743,199.0,0.00355425526631502
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",4.60057882899946,0.02391316899957019,0.02324231399961718,0.9990794888455707,0.9753422831144976,0.9782261383737295,0.9990772597710521,0.9989711934156379,0.9811813173022926,0.9720538376133425,0.9989791740461581,199.0,0.00381594299375659
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",10.362840251999842,0.05185046400038118,0.051265437000438396,0.9992960797054364,0.9777438681207821,0.9709994459822969,0.9992978230315007,0.9991336365605371,0.9813932788703693,0.972534919493868,0.9991418557999702,498.0,0.00209785970291414
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",10.257837426000151,0.052053190999686194,0.04937971999970614,0.9992960797054364,0.9777438681207821,0.9771328474645355,0.9992958303734494,0.9990794888455707,0.981321563437208,0.9724320207678718,0.9990876491575408,499.0,0.00214764381751862
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",10.30241182499958,0.0500585769996178,0.06495849199927761,0.99924193199047,0.9776785731086144,0.9777875938274306,0.9992417349873656,0.9990794888455707,0.9814672572427375,0.9724738655223386,0.9990874760432319,499.0,0.00218813221872045
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.05, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",10.130013379999582,0.04995801999939431,0.05079242499959946,0.99924193199047,0.9755508856646417,0.978987850772053,0.9992395732202526,0.9990253411306043,0.981398726540983,0.972405250179948,0.9990332614517135,499.0,0.00233972929811917
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",5.218719771999531,0.03805871499935165,0.024066578000201844,0.9992960797054364,0.9777502268776027,0.97107268565626,0.999297950001468,0.9990794888455707,0.981324748168615,0.9650930914681997,0.9990905936109887,199.0,0.00196553064669468
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",5.227722050000011,0.023584859000038705,0.023047379999297846,0.9991877842755036,0.9776100987180366,0.9706898770495586,0.9991896916865163,0.9990794888455707,0.981321563437208,0.9650929463958353,0.9990904929893748,192.0,0.00222963255287661
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",5.169961100999899,0.024615993999759667,0.024058248999608622,0.9994585228503358,0.9779588294277467,0.9801772067086801,0.9994565292597887,0.9991336365605371,0.9813964636017762,0.9725364328738052,0.9991417907149156,199.0,0.00192255531346772
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",5.1325363680007285,0.024143331000232138,0.027569799999582756,0.9994043751353693,0.9778871756587586,0.9798660283338597,0.9994024097656173,0.9990253411306043,0.9812562174668606,0.9723322898352728,0.999033380046975,198.0,0.00190505632686598
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",6.977465377999579,0.049431728999479674,0.03795693699976255,0.9992960797054364,0.9777502268776027,0.97107268565626,0.999297950001468,0.9990794888455707,0.9813279329000218,0.9723952852096646,0.9990876024493955,246.0,0.0019504438539992
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",7.7822973429993,0.04739433800023107,0.04648199399980513,0.99924193199047,0.9776785731086144,0.9707598962952723,0.999243810960047,0.9990253411306043,0.9812530327354537,0.9649915919989476,0.9990362446332891,249.0,0.002197281963871
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",7.503944326999772,0.031728515999930096,0.029570876999969187,0.9994585228503358,0.9779588294277467,0.9801772067086801,0.9994565292597887,0.9991336365605371,0.9813932788703693,0.9725363188173616,0.9991417135114302,286.0,0.00190952425301365
XGBoost,stage1,"{""max_depth"": 8, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",6.821007532999829,0.043586122000306204,0.02826484100023663,0.9994043751353693,0.9778871756587586,0.9798660283338597,0.9994024097656173,0.9990794888455707,0.981324748168615,0.9724335649924427,0.9990876073612869,251.0,0.00184877032448893
